category_name,title,size,brand,description,package_type,packets_per_peti,pieces_per_packet,purchase_price,selling_price_packet,selling_price_peti,selling_price_piece,stock,noise_level,use_type,season,is_kids_safe,hsn_code,gst_percentage,is_featured,is_bundle,thumbnail_url
Sparklers,7cm Sparklers,7 cm,Standard,Classic small sparklers for kids.,Box,50,10,2000,50,3000,6,100,Low,Outdoor,Diwali,1,3604,18,1,0,https://images.unsplash.com/photo-1498100152305-ec6b31e13e51?q=80&w=400
Sparklers,10cm Sparklers,10 cm,Standard,Medium size long-lasting sparklers.,Box,50,10,3000,80,4500,10,150,Low,Outdoor,Diwali,1,3604,18,0,0,https://images.unsplash.com/photo-1498100152305-ec6b31e13e51?q=80&w=400
Flower Pots,Small Anar,Small,Cock,Bright small flower pots.,Box,40,5,1500,60,2500,15,50,Low,Outdoor,Diwali,1,3604,18,1,0,https://images.unsplash.com/photo-1541845157-a6d2d100c931?q=80&w=400
Flower Pots,Giant Flower Pot,Large,Cock,Extra large high-reaching shower.,Box,20,5,2500,150,3500,35,80,Medium,Outdoor,Diwali,0,3604,18,1,0,https://images.unsplash.com/photo-1541845157-a6d2d100c931?q=80&w=400
Ground Spinners,Zameen Chakri,Medium,Sony,Fast spinning ground wheel.,Box,50,10,1800,45,2800,5,200,Low,Outdoor,Diwali,1,3604,18,0,0,https://images.unsplash.com/photo-1531315630201-bb15abeb1653?q=80&w=400
Bombs,Laxmi Bomb,Standard,Standard,Loud classic laxmi bomb.,Packet,100,5,3000,40,3500,10,300,High,Outdoor,Diwali,0,3604,18,1,0,https://images.unsplash.com/photo-1499596815340-0c4e70df5ea9?q=80&w=400
Bombs,Hydro Bomb,Large,Standard,Extremely loud water-resistant bomb.,Packet,50,5,2000,55,2500,12,120,High,Outdoor,Diwali,0,3604,18,0,0,https://images.unsplash.com/photo-1499596815340-0c4e70df5ea9?q=80&w=400
Aerial Shots,12 Shots Cake,Medium,Anil,12 consecutive multi-color aerial shots.,Box,10,1,1500,200,2000,0,40,Medium,Outdoor,All Year,0,3604,18,1,0,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?q=80&w=400
Aerial Shots,100 Shots Mega Cake,Large,Anil,Professional level 100 multi-color display.,Box,2,1,4000,2500,5500,0,10,High,Outdoor,Wedding,0,3604,18,1,0,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?q=80&w=400
Rockets,Baby Rocket,Small,Ajanta,Small whistling rockets.,Box,100,10,800,12,1500,2,500,Medium,Outdoor,Diwali,0,3604,18,0,0,https://images.unsplash.com/photo-1516223725307-6f76b9ec8742?q=80&w=400
