title,category_name,description,brand,selling_price_packet,package_type,pieces_per_packet,packets_per_peti,stock
"7cm Sparklers","Sparklers","Small electric sparklers for kids","Standard",50,"Box",10,50,200
"10cm Sparklers","Sparklers","Medium sparklers","Standard",80,"Box",10,50,150
"15cm Sparklers","Sparklers","Large sparklers","Cock",120,"Box",10,50,120
"Color Sparklers","Sparklers","Multi-color sparklers","Anil",90,"Box",10,50,180
"Assorted Sparklers","Sparklers","Mix of different color sparklers","Sony",150,"Box",10,25,100
"Small Flower Pot","Flower Pots","Small anar with golden sparks","Standard",100,"Box",5,20,100
"Medium Flower Pot","Flower Pots","Medium anar","Cock",180,"Box",5,20,80
"Giant Flower Pot","Flower Pots","Giant anar with high reach","Anil",300,"Box",5,10,50
"Color Flower Pot","Flower Pots","Multi-color sparks anar","Standard",250,"Box",5,10,75
"Silver Flower Pot","Flower Pots","Silver showers anar","Sony",220,"Box",5,15,60
"Small Ground Spinner","Ground Spinners","Small chakri","Standard",60,"Box",10,40,150
"Big Ground Spinner","Ground Spinners","Big zameen chakri","Cock",120,"Box",10,20,100
"Special Ground Spinner","Ground Spinners","High speed chakri","Anil",150,"Box",10,20,80
"Color Ground Spinner","Ground Spinners","Color changing chakri","Standard",180,"Box",10,20,70
"Whistling Spinner","Ground Spinners","Chakri with whistling sound","Sony",200,"Box",10,15,50
"Baby Rocket","Rockets","Small rockets","Standard",50,"Box",10,50,200
"Whistling Rocket","Rockets","Rockets with whistle","Cock",90,"Box",10,30,120
"Color Rocket","Rockets","Rockets bursting in colors","Anil",150,"Box",10,20,100
"Parachute Rocket","Rockets","Rocket with a parachute drop","Standard",200,"Box",5,20,60
"Giant Rocket","Rockets","High flying giant rockets","Sony",250,"Box",5,15,40
"2 Inch Shell","Aerial Shots","Single shot 2 inch aerial shell","Standard",300,"Piece",1,20,50
"3 Inch Shell","Aerial Shots","Single shot 3 inch aerial shell","Cock",500,"Piece",1,10,30
"12 Shots Cake","Aerial Shots","12 multi-color shots","Anil",800,"Box",1,5,20
"30 Shots Cake","Aerial Shots","30 shots repeated fireworks","Standard",1500,"Box",1,4,15
"60 Shots Cake","Aerial Shots","60 shots grand finale","Sony",2500,"Box",1,2,10
"100 Shots Cake","Aerial Shots","100 shots mega cake","Standard",3500,"Box",1,1,5
"Atom Bomb","Bombs","Loud atom bomb","Standard",100,"Box",10,30,100
"Hydro Bomb","Bombs","Very loud hydro bomb","Cock",150,"Box",10,20,80
"Classic Bomb","Bombs","Classic green bomb","Anil",80,"Box",10,40,120
"Bullet Bomb","Bombs","Bullet shaped loud bomb","Standard",120,"Box",10,30,90
"Laxmi Bomb","Bombs","Traditional laxmi bomb","Sony",50,"Box",5,50,200
"Garland 100","Garlands","100 wala ladi","Standard",60,"Piece",1,50,150
"Garland 1000","Garlands","1000 wala ladi","Cock",500,"Piece",1,10,40
"Garland 5000","Garlands","5000 wala grand ladi","Anil",2000,"Piece",1,5,10
"Garland 10000","Garlands","10000 wala mega ladi","Standard",3800,"Piece",1,2,5
"Magic Snake","Novelty","Black snake pellets","Sony",20,"Box",10,100,300
"Twinkling Star","Novelty","Small twinkling hand fireworks","Standard",40,"Box",10,50,200
"Pencil Crackers","Novelty","Color pencil fountains","Cock",80,"Box",5,40,100
"Match Strike","Novelty","Strike on box color match","Anil",30,"Box",10,100,250
"Helicopter","Novelty","Flying spinning helicopter","Standard",100,"Box",5,20,80
