category_name,title,size,brand,description,package_type,packets_per_peti,pieces_per_packet,purchase_price,selling_price_packet,selling_price_peti,selling_price_piece,stock,noise_level,use_type,season,is_kids_safe,hsn_code,gst_percentage,is_featured,is_bundle,thumbnail_url
Sparklers,7cm Gold Sparklers,7 cm,Standard,High-quality 7cm gold sparklers.,Box,50,10,1200,50,2000,5,100,Low,Outdoor,Diwali,1,3604,18,0,0,https://images.unsplash.com/photo-1498100152305-ec6b31e13e51?q=80&w=400
Sparklers,10cm Color Sparklers,10 cm,Standard,High-quality 10cm color sparklers.,Box,50,10,1920,80,3200,8,120,Low,Outdoor,Diwali,1,3604,18,0,0,https://images.unsplash.com/photo-1498100152305-ec6b31e13e51?q=80&w=400
Sparklers,15cm Crackling Sparklers,15 cm,Cock,High-quality 15cm crackling sparklers.,Box,50,10,2880,120,4800,12,150,Low,Outdoor,Diwali,1,3604,18,1,0,https://images.unsplash.com/photo-1498100152305-ec6b31e13e51?q=80&w=400
Sparklers,30cm Electric Sparklers,30 cm,Cock,High-quality 30cm electric sparklers.,Box,50,10,4800,200,8000,20,80,Low,Outdoor,Diwali,1,3604,18,1,0,https://images.unsplash.com/photo-1498100152305-ec6b31e13e51?q=80&w=400
Flower Pots,Small Red Anar,Small,Sony,High-quality small red anar.,Box,50,5,1440,60,2400,12,100,Low,Outdoor,Diwali,1,3604,18,0,0,https://images.unsplash.com/photo-1541845157-a6d2d100c931?q=80&w=400
Flower Pots,Giant Color Changing Anar,Large,Anil,High-quality giant color changing anar.,Box,50,5,3600,150,6000,30,50,Low,Outdoor,Diwali,1,3604,18,1,0,https://images.unsplash.com/photo-1541845157-a6d2d100c931?q=80&w=400
Flower Pots,Silver Showers Fountain,Medium,Ajanta,High-quality silver showers fountain.,Box,50,5,2400,100,4000,20,90,Low,Outdoor,Diwali,1,3604,18,0,0,https://images.unsplash.com/photo-1541845157-a6d2d100c931?q=80&w=400
Ground Spinners,Classic Zameen Chakri,Medium,Standard,High-quality classic zameen chakri.,Box,50,10,1080,45,1800,4.5,200,Low,Outdoor,Diwali,1,3604,18,0,0,https://images.unsplash.com/photo-1531315630201-bb15abeb1653?q=80&w=400
Ground Spinners,Whistling Spinner,Medium,Cock,High-quality whistling spinner.,Box,50,10,1920,80,3200,8,150,Medium,Outdoor,Diwali,1,3604,18,0,0,https://images.unsplash.com/photo-1531315630201-bb15abeb1653?q=80&w=400
Ground Spinners,Big Fire Wheel,Large,Sony,High-quality big fire wheel.,Box,50,5,2880,120,4800,24,100,Medium,Outdoor,Diwali,1,3604,18,1,0,https://images.unsplash.com/photo-1531315630201-bb15abeb1653?q=80&w=400
Rockets,Baby Rocket (100 Pcs),Small,Anil,High-quality baby rocket (100 pcs).,Box,50,100,3600,150,6000,1.5,150,Medium,Outdoor,Diwali,0,3604,18,0,0,https://images.unsplash.com/photo-1516223725307-6f76b9ec8742?q=80&w=400
Rockets,Whistling Rocket,Medium,Ajanta,High-quality whistling rocket.,Box,50,10,6000,250,10000,25,80,Medium,Outdoor,Diwali,0,3604,18,0,0,https://images.unsplash.com/photo-1516223725307-6f76b9ec8742?q=80&w=400
Rockets,Parachute Rocket,Large,Standard,High-quality parachute rocket.,Box,50,5,9600,400,16000,80,50,Medium,Outdoor,Diwali,0,3604,18,1,0,https://images.unsplash.com/photo-1516223725307-6f76b9ec8742?q=80&w=400
Aerial Shots,12 Shots Multi-Color Cake,Medium,Cock,High-quality 12 shots multi-color cake.,Box,50,1,7200,300,12000,300,40,High,Outdoor,Diwali,0,3604,18,0,0,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?q=80&w=400
Aerial Shots,30 Shots Golden Willow,Large,Sony,High-quality 30 shots golden willow.,Box,50,1,19200,800,32000,800,25,High,Outdoor,Wedding,0,3604,18,1,0,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?q=80&w=400
Aerial Shots,100 Shots Mega Display,Mega,Anil,High-quality 100 shots mega display.,Box,10,1,60000,2500,100000,2500,10,High,Outdoor,Wedding,0,3604,18,1,0,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?q=80&w=400
Aerial Shots,2 Inch Single Shell,Medium,Ajanta,High-quality 2 inch single shell.,Box,50,1,3600,150,6000,150,60,High,Outdoor,Diwali,0,3604,18,0,0,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?q=80&w=400
Bombs,Classic Laxmi Bomb,Medium,Standard,High-quality classic laxmi bomb.,Packet,50,5,960,40,1600,8,300,High,Outdoor,Diwali,0,3604,18,0,0,https://images.unsplash.com/photo-1499596815340-0c4e70df5ea9?q=80&w=400
Bombs,Hydro Bomb,Large,Cock,High-quality hydro bomb.,Packet,50,5,1440,60,2400,12,200,High,Outdoor,Diwali,0,3604,18,0,0,https://images.unsplash.com/photo-1499596815340-0c4e70df5ea9?q=80&w=400
Bombs,Atom Bomb (10 Pcs),Large,Sony,High-quality atom bomb (10 pcs).,Packet,50,10,2400,100,4000,10,150,High,Outdoor,Diwali,0,3604,18,0,0,https://images.unsplash.com/photo-1499596815340-0c4e70df5ea9?q=80&w=400
